buffer	logKT25	logKT50	logKT75	logKT100	logKT125	logKT130	logKT150
 CO(G)             	-4.41	-4.74	-5.5	-6.46	-7.49	-7.7	-8.53
 CO2(G)            	-7.87	-7.86	-8.11	-8.49	-8.92	-9.01	-9.39
 H2(G)             	0	-0.53	-1	-1.41	-1.77	-1.84	-2.1
 steam             	1.64	0.89	0.45	0.21	0.07	0.06	0.01
 O2(G)             	83.21	76.21	70.66	66.12	62.32	61.63	59.08
 akermanite        	45.5	41.05	37.7	35.12	33.05	32.68	31.32
 albite            	2.21	1.17	0.49	0.09	-0.17	-0.21	-0.34
 albite(low)       	2.21	1.17	0.49	0.09	-0.17	-0.21	-0.34
 albite(high)      	3.52	2.35	1.54	1.03	0.68	0.63	0.43
 amorph_silica     	-2.71	-2.48	-2.31	-2.18	-2.07	-2.05	-1.98
 analcime          	6.44	4.84	3.94	3.48	3.28	3.26	3.2
 analcime(dehyd)   	11.1	9.24	7.92	6.97	6.25	6.13	5.67
 andalusite        	14.76	11.28	8.76	6.89	5.42	5.16	4.18
 anorthite         	25.46	20.86	17.51	15.03	13.08	12.74	11.45
 anthophyllite     	67.28	59.19	53.37	49.2	46.05	45.52	43.55
 antigorite        	14.46	11.96	10.7	10.22	10.15	10.17	10.28
 aragonite         	2	1.65	1.28	0.92	0.56	0.49	0.2
 artinite          	19.95	17.4	16.19	15.75	15.72	15.74	15.87
 beidellite_Ca     	4.95	2.03	0.19	-0.9	-1.59	-1.69	-2.05
 beidellite_K      	4.89	2.09	0.34	-0.71	-1.36	-1.46	-1.82
 beidellite_Mg     	4.83	1.85	-0.07	-1.26	-2.04	-2.17	-2.62
 beidellite_Na     	32.56	27.57	23.95	21.28	19.21	18.84	17.5
 boehmite          	8.72	6.8	5.52	4.64	4	3.9	3.5
 brucite           	16.41	14.6	13.45	12.71	12.22	12.14	11.86
 Ca-Al-pyroxene    	34.85	29.51	25.57	22.61	20.24	19.82	18.25
 calcite           	1.86	1.51	1.14	0.78	0.42	0.35	0.05
 chalcedony        	-3.73	-3.35	-3.07	-2.86	-2.68	-2.65	-2.53
 chrysotile        	31.42	27.62	25.26	23.81	22.91	22.77	22.3
 clinochlore(7A)   	69.96	59.73	53.12	48.84	45.91	45.43	43.74
 clinochlore(14A)  	66.58	56.54	50.07	45.91	43.09	42.63	41.02
 clinozoisite      	41.63	34.54	29.55	25.99	23.27	22.8	21.05
 coesite           	-3.19	-2.85	-2.61	-2.42	-2.27	-2.24	-2.13
 cordierite        	50.07	40.57	33.56	28.33	24.18	23.45	20.71
 cordierite(hyd)   	47.64	38.22	31.49	26.62	22.88	22.23	19.81
 corundum          	19.58	15.64	12.77	10.63	8.92	8.62	7.48
 cristobalite      	-3.45	-3.1	-2.85	-2.66	-2.5	-2.47	-2.37
 cristobalite(a)   	-3.45	-3.1	-2.85	-2.66	-2.5	-2.47	-2.37
 cristobalite(b)   	-3	-2.71	-2.51	-2.36	-2.23	-2.21	-2.12
 diaspore          	7.88	6.08	4.9	4.11	3.54	3.45	3.1
 diopside          	21.09	18.89	17.28	16.09	15.17	15.01	14.42
 dolomite          	2.53	1.72	0.89	0.1	-0.67	-0.82	-1.44
 dolomite(disord)  	4.08	3.1	2.13	1.21	0.33	0.16	-0.54
 dolomite(ordered) 	2.53	1.72	0.89	0.1	-0.67	-0.82	-1.45
 enstatite         	11.39	10.08	9.09	8.34	7.75	7.65	7.26
 forsterite        	27.99	24.86	22.51	20.71	19.28	19.02	18.08
 gehlenite         	55.24	48	42.64	38.55	35.27	34.69	32.51
 gibbsite          	7.14	5.39	4.46	4.03	3.85	3.84	3.8
 graphite          	-21.99	-20.32	-19.58	-19.37	-19.48	-19.52	-19.75
 grossular         	50.92	44.23	39.41	35.88	33.13	32.65	30.86
 halite            	1.59	1.64	1.62	1.58	1.51	1.5	1.42
 huntite           	10.34	8.03	5.78	3.71	1.73	1.34	-0.2
 hydromagnesite    	31.23	26.23	22.92	20.7	19.08	18.8	17.74
 jadeite           	7.83	6.4	5.43	4.8	4.36	4.29	4.02
 K-feldpar         	-0.83	-1.49	-1.85	-1.99	-2.02	-2.02	-2
 kalsilite         	10.34	8.62	7.45	6.66	6.08	5.98	5.62
 kaolinite         	5.74	3.03	1.54	0.8	0.47	0.43	0.33
 kyanite           	14.49	11.07	8.59	6.77	5.34	5.08	4.13
 laumontite        	12.77	9.05	7.19	6.46	6.34	6.36	6.51
 lawsonite         	21.2	17.08	14.56	13.05	12.12	11.97	11.47
 lime              	32.64	29.86	27.66	25.89	24.4	24.13	23.12
 magnesite         	2.3	1.7	1.12	0.59	0.09	-0.01	-0.4
 margarite         	38.82	30.85	25.33	21.45	18.53	18.02	16.15
 merwinite         	68.76	62.24	57.3	53.47	50.38	49.82	47.77
 microcline(max)   	-1.05	-1.7	-2.05	-2.18	-2.2	-2.2	-2.18
 monticellite      	29.71	26.71	24.47	22.76	21.39	21.15	20.25
 muscovite         	11.9	7.86	5.32	3.77	2.75	2.59	2.02
 nepheline         	13.24	11.17	9.7	8.66	7.87	7.73	7.22
 nesquehonite      	5.17	4.82	6.01	8.05	10.47	10.97	12.98
 paragonite        	15.83	11.37	8.47	6.62	5.35	5.15	4.4
 pargasite         	100.67	86.99	77.17	70.01	64.5	63.54	60
 periclase         	21.4	19.22	17.54	16.21	15.13	14.93	14.21
 phlogopite        	37.12	31.98	28.56	26.28	24.69	24.42	23.48
 potassium-oxide   	84.1	78.16	73.27	69.17	65.65	65.01	62.6
 prehnite          	31.93	26.86	23.44	21.14	19.48	19.2	18.18
 pyrophyllite      	-0.68	-2.66	-3.84	-4.48	-4.83	-4.87	-5.03
 quartz            	-4	-3.6	-3.31	-3.08	-2.89	-2.85	-2.72
 sanadine(high)    	0.37	-0.44	-0.94	-1.2	-1.33	-1.34	-1.4
 sepiolite         	31.08	26.99	25.4	25.33	26.06	26.25	27.15
 silliminite       	15.13	11.6	9.04	7.14	5.64	5.37	4.38
 sodium_oxide      	67.48	62.58	58.6	55.3	52.5	51.99	50.1
 spinel            	36.51	30.72	26.46	23.24	20.67	20.21	18.5
 sylvite           	0.85	1.08	1.21	1.29	1.31	1.32	1.3
 talc              	21.38	18.59	16.76	15.61	14.86	14.75	14.34
 tremolite         	61.72	54.66	49.73	46.31	43.81	43.39	41.87
 wairakite         	17.07	12.95	10.32	8.68	7.6	7.42	6.82
 wollastonite      	13.82	12.59	11.66	10.96	10.41	10.31	9.95
 zoisite           	41.68	34.58	29.59	26.02	23.3	22.83	21.08
anhydrite	-4.29	-4.56	-4.95	-5.38	-5.85	-5.94	-6.35
