cplexes	type	charge	scharge	a0	Al	 Ca	 Cl	 H2O   	 HCO3	 H	K	 Mg	 Na	NH3	 SiO2  	SO4	E	X	GCa	GCO3	Lac
 H2                	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
 NaCl              	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
 NaOH              	0	0	0	4	0	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	0	0
 NaAlO2            	0	0	0	4	1	0	0	2	0	-4	0	0	1	0	0	0	0	0	0	0	0
 NaHSiO3           	0	0	0	4	0	0	0	1	0	-1	0	0	1	0	1	0	0	0	0	0	0
 KCl               	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 KOH               	0	0	0	4	0	0	0	1	0	-1	1	0	0	0	0	0	0	0	0	0	0
 MgCl+             	0	1	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
 MgOH+             	0	1	0	4	0	0	0	1	0	-1	0	1	0	0	0	0	0	0	0	0	0
 MgCO3             	0	0	0	4	0	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	0	0
 MgHCO3+           	0	1	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
 CaCl+             	0	1	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CaCl2             	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 CaOH+             	0	1	0	4	0	1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0
 CaCO3             	0	0	0	4	0	1	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0
 CaHCO3+           	0	1	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
 AlO+              	0	1	0	4	1	0	0	1	0	-2	0	0	0	0	0	0	0	0	0	0	0
 AlOH++            	0	2	0	4	1	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0
 Al(OH)2+          	0	1	0	4	1	0	0	2	0	-2	0	0	0	0	0	0	0	0	0	0	0
 HAlO2             	0	0	0	4	1	0	0	2	0	-3	0	0	0	0	0	0	0	0	0	0	0
 AlO2-             	0	-1	0	4	1	0	0	2	0	-4	0	0	0	0	0	0	0	0	0	0	0
 CO                	0	0	0	4	0	0	0	-2	1	3	0	0	0	0	0	0	0	0	0	0	0
 CO2               	0	0	0	4	0	0	0	-1	1	1	0	0	0	0	0	0	0	0	0	0	0
 CO3--             	0	-2	0	4	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0
 HSiO3-            	0	-1	0	4	0	0	0	1	0	-1	0	0	0	0	1	0	0	0	0	0	0
 O2                	0	0	0	4	0	0	0	2	0	-4	0	0	0	0	0	0	0	0	0	0	0
 OH-               	0	-1	0	4	0	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0
 H2O2              	0	0	0	4	0	0	0	2	0	-2	0	0	0	0	0	0	0	0	0	0	0
 HO2-              	0	-1	0	4	0	0	0	2	0	-3	0	0	0	0	0	0	0	0	0	0	0
