buffer	logaf	mol_volume	surface_area	Al	 Ca	 Cl	 H2O   	 HCO3 	 H	K	 Mg	 Na	NH3	 SiO2  	SO4	E	X	GCa	GCO3	Lac
 CO(G)             	0	1	0	0	0	0	-2	1	3	0	0	0	0	0	0	0	0	0	0	0
 CO2(G)            	-3.5	1	0	0	0	0	-1	1	1	0	0	0	0	0	0	0	0	0	0	0
 H2(G)             	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
 steam             	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
 O2(G)             	0	1	0	0	0	0	2	0	-4	0	0	0	0	0	0	0	0	0	0	0
 akermanite        	0	92.81	0	0	2	0	3	0	-6	0	1	0	0	2	0	0	0	0	0	0
 albite            	0	100.25	0	1	0	0	2	0	-4	0	0	1	0	3	0	0	0	0	0	0
 albite(low)       	0	100.07	0	1	0	0	2	0	-4	0	0	1	0	3	0	0	0	0	0	0
 albite(high)      	0	100.43	0	1	0	0	2	0	-4	0	0	1	0	3	0	0	0	0	0	0
 amorph_silica     	0	29	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 analcime          	0	97.1	0	1	0	0	3	0	-4	0	0	1	0	2	0	0	0	0	0	0
 analcime(dehyd)   	0	89.1	0	1	0	0	2	0	-4	0	0	1	0	2	0	0	0	0	0	0
 andalusite        	0	51.53	0	2	0	0	3	0	-6	0	0	0	0	1	0	0	0	0	0	0
 anorthite         	0	100.79	0	2	1	0	4	0	-8	0	0	0	0	2	0	0	0	0	0	0
 anthophyllite     	0	264.4	0	0	0	0	8	0	-14	0	7	0	0	8	0	0	0	0	0	0
 antigorite        	0	109.32	0	0	0	0	5	0	-6	0	3	0	0	2	0	0	0	0	0	0
 aragonite         	0	34.15	0	0	1	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0
 artinite          	0	96.9	0	0	0	0	5	1	-3	0	2	0	0	0	0	0	0	0	0	0
 beidellite_Ca     	0	149.8726648	5.00E+05	2.33	0.165	0	4.66	0	-7.32	0	0	0	0	3.67	0	0	0	0	0	0
 beidellite_K      	0	152.5489367	5.00E+05	2.33	0	0	4.66	0	-7.32	0.33	0	0	0	3.67	0	0	0	0	0	0
 beidellite_Mg     	0	148.7650584	5.00E+05	2.33	0	0	4.66	0	-7.32	0	0.165	0	0	3.67	0	0	0	0	0	0
 beidellite_Na     	0	150.2868878	5.00E+05	2.33	0	0	4.66	0	-7.32	0	0	0.33	0	3.67	0	0	0	0	0	0
 boehmite          	0	19.54	0.00E+00	1	0	0	2	0	-3	0	0	0	0	0	0	0	0	0	0	0
 brucite           	0	24.63	1.00E+04	0	0	0	2	0	-2	0	1	0	0	0	0	0	0	0	0	0
 Ca-Al-pyroxene    	0	63.5	0.00E+00	2	1	0	4	0	-8	0	0	0	0	1	0	0	0	0	0	0
 calcite           	0	36.93	2.00E+03	0	1	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0
 chalcedony        	0	22.69	0.00E+00	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 chrysotile        	0	108.5	0.00E+00	0	0	0	5	0	-6	0	3	0	0	2	0	0	0	0	0	0
 clinochlore(7A)   	0	211.5	0.00E+00	2	0	0	12	0	-16	0	5	0	0	3	0	0	0	0	0	0
 clinochlore(14A)  	0	207.11	0.00E+00	2	0	0	12	0	-16	0	5	0	0	3	0	0	0	0	0	0
 clinozoisite      	0	136.2	0.00E+00	3	2	0	7	0	-13	0	0	0	0	3	0	0	0	0	0	0
 coesite           	0	20.64	0.00E+00	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 cordierite        	0	233.22	0.00E+00	4	0	0	8	0	-16	0	2	0	0	5	0	0	0	0	0	0
 cordierite(hyd)   	0	241.22	0.00E+00	4	0	0	9	0	-16	0	2	0	0	5	0	0	0	0	0	0
 corundum          	0	25.58	0.00E+00	2	0	0	3	0	-6	0	0	0	0	0	0	0	0	0	0	0
 cristobalite      	0	25.74	0.00E+00	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 cristobalite(a)   	0	25.74	0.00E+00	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 cristobalite(b)   	0	27.38	0.00E+00	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 diaspore          	0	17.76	0.00E+00	1	0	0	2	0	-3	0	0	0	0	0	0	0	0	0	0	0
 diopside          	0	66.09	0.00E+00	0	1	0	2	0	-4	0	1	0	0	2	0	0	0	0	0	0
 dolomite          	0	64.365	0.00E+00	0	1	0	0	2	-2	0	1	0	0	0	0	0	0	0	0	0
 dolomite(disord)  	0	64.39	0.00E+00	0	1	0	0	2	-2	0	1	0	0	0	0	0	0	0	0	0
 dolomite(ordered) 	0	64.34	0.00E+00	0	1	0	0	2	-2	0	1	0	0	0	0	0	0	0	0	0
 enstatite         	0	31.276	0.00E+00	0	0	0	1	0	-2	0	1	0	0	1	0	0	0	0	0	0
 forsterite        	0	43.79	0.00E+00	0	0	0	2	0	-4	0	2	0	0	1	0	0	0	0	0	0
 gehlenite         	0	90.24	0.00E+00	2	2	0	5	0	-10	0	0	0	0	1	0	0	0	0	0	0
 gibbsite          	0	31.956	0.00E+00	1	0	0	3	0	-3	0	0	0	0	0	0	0	0	0	0	0
 graphite          	0	5.560648148	0.00E+00	0	0	0	-3	1	5	0	0	0	0	0	0	0	0	0	0	0
 grossular         	0	125.3	0.00E+00	2	3	0	6	0	-12	0	0	0	0	3	0	0	0	0	0	0
 halite            	0	27.015	0.00E+00	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
 huntite           	0	122.9	0.00E+00	0	1	0	0	4	-4	0	3	0	0	0	0	0	0	0	0	0
 hydromagnesite    	0	208.8	0.00E+00	0	0	0	6	4	-6	0	5	0	0	0	0	0	0	0	0	0
 jadeite           	0	60.4	0.00E+00	1	0	0	2	0	-4	0	0	1	0	2	0	0	0	0	0	0
 K-feldpar         	0	108.87	0.00E+00	1	0	0	2	0	-4	1	0	0	0	3	0	0	0	0	0	0
 kalsilite         	0	59.89	0.00E+00	1	0	0	2	0	-4	1	0	0	0	1	0	0	0	0	0	0
 kaolinite         	0	99.52	0.00E+00	2	0	0	5	0	-6	0	0	0	0	2	0	0	0	0	0	0
 kyanite           	0	44.09	0.00E+00	2	0	0	3	0	-6	0	0	0	0	1	0	0	0	0	0	0
 laumontite        	0	207.55	0.00E+00	2	1	0	8	0	-8	0	0	0	0	4	0	0	0	0	0	0
 lawsonite         	0	101.32	0.00E+00	2	1	0	6	0	-8	0	0	0	0	2	0	0	0	0	0	0
 lime              	0	16.764	0.00E+00	0	1	0	1	0	-2	0	0	0	0	0	0	0	0	0	0	0
 magnesite         	0	28.018	0.00E+00	0	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	0	0
 margarite         	0	129.4	0.00E+00	4	1	0	8	0	-14	0	0	0	0	2	0	0	0	0	0	0
 merwinite         	0	104.4	0.00E+00	0	3	0	4	0	-8	0	1	0	0	2	0	0	0	0	0	0
 microcline(max)   	0	108.741	0.00E+00	1	0	0	2	0	-4	1	0	0	0	3	0	0	0	0	0	0
 monticellite      	0	51.47	0.00E+00	0	1	0	2	0	-4	0	1	0	0	1	0	0	0	0	0	0
 muscovite         	0	140.71	0.00E+00	3	0	0	6	0	-10	1	0	0	0	3	0	0	0	0	0	0
 nepheline         	0	54.16	0.00E+00	1	0	0	2	0	-4	0	0	1	0	1	0	0	0	0	0	0
 nesquehonite      	0	74.79	0.00E+00	0	0	0	3	1	-1	0	1	0	0	0	0	0	0	0	0	0
 paragonite        	0	132.53	0.00E+00	3	0	0	6	0	-10	0	0	1	0	3	0	0	0	0	0	0
 pargasite         	0	273.5	0.00E+00	3	2	0	12	0	-22	0	4	1	0	6	0	0	0	0	0	0
 periclase         	0	11.248	0.00E+00	0	0	0	1	0	-2	0	1	0	0	0	0	0	0	0	0	0
 phlogopite        	0	149.66	0.00E+00	1	0	0	6	0	-10	1	3	0	0	3	0	0	0	0	0	0
 potassium-oxide   	0	40.38	0.00E+00	0	0	0	1	0	-2	2	0	0	0	0	0	0	0	0	0	0
 prehnite          	0	140.33	0.00E+00	2	2	0	6	0	-10	0	0	0	0	3	0	0	0	0	0	0
 pyrophyllite      	0	126.6	0.00E+00	2	0	0	4	0	-6	0	0	0	0	4	0	0	0	0	0	0
 quartz            	0	22.68	0.00E+00	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
 sanadine(high)    	0	109.008	0.00E+00	1	0	0	2	0	-4	1	0	0	0	3	0	0	0	0	0	0
 sepiolite         	0	285.6	0.00E+00	0	0	0	11	0	-8	0	4	0	0	6	0	0	0	0	0	0
 silliminite       	0	49.9	0.00E+00	2	0	0	3	0	-6	0	0	0	0	1	0	0	0	0	0	0
 sodium_oxide      	0	25	0.00E+00	0	0	0	1	0	-2	0	0	2	0	0	0	0	0	0	0	0
 spinel            	0	39.71	0.00E+00	2	0	0	4	0	-8	0	1	0	0	0	0	0	0	0	0	0
 sylvite           	0	37.524	0.00E+00	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 talc              	0	136.25	0.00E+00	0	0	0	4	0	-6	0	3	0	0	4	0	0	0	0	0	0
 tremolite         	0	272.92	0.00E+00	0	2	0	8	0	-14	0	5	0	0	8	0	0	0	0	0	0
 wairakite         	0	186.87	0.00E+00	2	1	0	6	0	-8	0	0	0	0	4	0	0	0	0	0	0
 wollastonite      	0	39.93	0.00E+00	0	1	0	1	0	-2	0	0	0	0	1	0	0	0	0	0	0
 zoisite           	0	135.9	0.00E+00	3	2	0	7	0	-13	0	0	0	0	3	0	0	0	0	0	0
anhydrite	0	45.83946128	0.00E+00	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
