cplexes	logKT25	logKT50	logKT75	logKT100	logKT125	logKT130	logKT150
 H2                	3.11	2.61	2.14	1.69	1.27	1.19	0.87
 NaCl              	0.78	0.71	0.6	0.47	0.34	0.31	0.18
 NaOH              	14.26	13.36	12.82	12.5	12.33	12.3	12.23
 NaAlO2            	23.06	20.27	18.23	16.68	15.44	15.22	14.4
 NaHSiO3           	7.81	7.67	7.71	7.87	8.09	8.14	8.34
 KCl               	2.54	2.27	1.99	1.73	1.48	1.43	1.22
 KOH               	14.49	13.49	12.88	12.51	12.28	12.25	12.14
 MgCl+             	0.14	0.12	-0.01	-0.18	-0.4	-0.44	-0.65
 MgOH+             	11.74	10.72	10.02	9.53	9.16	9.1	8.87
 MgCO3             	7.35	7.06	6.79	6.56	6.35	6.31	6.15
 MgHCO3+           	-1.03	-1.09	-1.24	-1.43	-1.66	-1.71	-1.92
 CaCl+             	0.3	0.18	0	-0.21	-0.45	-0.5	-0.72
 CaCl2             	0.66	0.71	0.59	0.4	0.14	0.08	-0.19
 CaOH+             	12.89	11.69	10.86	10.27	9.83	9.76	9.48
 CaCO3             	7.01	6.62	6.27	5.97	5.7	5.65	5.44
 CaHCO3+           	-1.04	-1.09	-1.23	-1.41	-1.63	-1.68	-1.89
 AlO+              	10.4	8.89	7.79	6.98	6.33	6.22	5.8
 AlOH++            	5.06	4.22	3.66	3.28	3	2.95	2.77
 Al(OH)2+          	10.03	8.47	7.48	6.84	6.39	6.31	6.04
 HAlO2             	15.72	13.42	11.87	10.81	10.05	9.93	9.48
 AlO2-             	22.32	19.67	17.81	16.47	15.45	15.27	14.64
 CO                	-1.4	-1.62	-2.34	-3.31	-4.39	-4.62	-5.52
 CO2               	-6.39	-6.14	-6.24	-6.51	-6.9	-6.98	-7.34
 CO3--             	10.32	10.14	10.08	10.08	10.13	10.15	10.24
 HSiO3-            	9.63	9.21	9.06	9.09	9.22	9.25	9.42
 O2                	86.11	79.25	73.75	69.23	65.41	64.71	62.11
 OH-               	14.04	13.14	12.64	12.38	12.27	12.26	12.26
 H2O2              	59.74	54.8	51	47.99	45.51	45.07	43.43
 HO2-              	71.41	66.07	62	58.79	56.19	55.73	54.04
 HCl               	0.71	0.81	0.81	0.75	0.63	0.61	0.48
 HClO              	50.61	46.48	43.09	40.27	37.84	37.4	35.72
 ClO-              	58.15	53.85	50.38	47.51	45.09	44.65	43
 HClO2             	107.25	98.67	91.68	85.86	80.9	79.99	76.58
 ClO2-             	109.22	100.86	94.12	88.56	83.87	83.01	79.83
 ClO3-             	146.43	135.07	125.99	118.53	112.26	111.12	106.88
 ClO4-             	187.93	173.42	161.85	152.36	144.4	142.95	137.58
KSO4	-0.88	-0.93	-1.04	-1.19	-1.37	-1.4	-1.56
NaSO4	-0.7	-0.77	-0.9	-1.06	-1.24	-1.27	-1.43
CaSO4	-2.1	-2.16	-2.32	-2.51	-2.73	-2.78	-2.99
MgSO4	-2.22	-2.29	-2.45	-2.64	-2.86	-2.9	-3.11
NH4+	-9.252	-9.252	-9.252	-9.252	-9.252	-9.252	-9.252
GCaCO3	7.01	6.62	6.27	5.97	5.7	5.65	5.44
GCaOH	12.9	11.7	10.87	10.28	9.84	9.77	9.49
GCaHCO3	-1.04	-1.09	-1.23	-1.41	-1.63	-1.68	-1.89
GCO3H	-4.9	-4.65	-4.75	-5.02	-5.41	-5.49	-5.85
GCO3Ca	-1.74	-2.13	-2.48	-2.78	-3.05	-3.1	-3.31
GCaSO4	-2.1	-2.16	-2.32	-2.51	-2.73	-2.78	-2.99
GCO3Mg	-1.73	-1.79	-1.94	-2.13	-2.36	-2.41	-2.62
NaX	-20	-20	-20	-20	-20	-20	-20
KX	-20.7	-20.70005827	-20.70010818	-20.70015139	-20.70018918	-20.70019618	-20.70022251
CaX2	-40.8	-40.79990243	-40.79981887	-40.7997465	-40.79968323	-40.79967151	-40.79962743
MgX2	-40.6	-40.59989972	-40.59981384	-40.59973946	-40.59967443	-40.59966239	-40.59961708
AlX3	-60.89	-60.89	-60.89	-60.89	-60.89	-60.89	-60.89
LacH	-3.86	-3.86	-3.86	-3.86	-3.86	-3.86	-3.86
CaLac+	-1.47	-1.47	-1.47	-1.47	-1.47	-1.47	-1.47
